"","ID","year","location","pm25v0_expo_day","pm10v0_expo_day","no2pred_expo_day","o3_8hpred_expo_day"
"10166",574,2016,"DK014",65.707359641599,0,2.79400619971003,4.22157830941809
"10167",574,2017,"DK014",87.748962325569,6.49061651165487,0,3.2060018742536
"10168",574,2018,"DK014",105.889847069777,2.77737081202875,0,14.9854741371849
"10169",574,2019,"DK014",101.06323261317,0,0,10.6329563764124
"10170",574,2020,"DK014",73.6765107004121,0,0,6.03678886822412
"10171",585,2003,"DK021",58.933315100803,22.4414249740028,12.8250153358593,4.64841486508795
"10172",585,2004,"DK021",33.9836937595469,1.08564520949675,1.24921948700333,0.727385646461223
"10173",585,2005,"DK021",51.1155980896673,10.1588739698492,1.38776548714112,5.91606722089498
"10174",585,2006,"DK021",64.7501326318474,8.42909187012983,2.41639717097484,11.1047487953287
"10175",585,2007,"DK021",34.2220390564907,4.46947860852324,1.02061256648316,3.67461545910207
"10176",585,2008,"DK021",27.2157150183667,0.18393803046684,2.2702685672159,2.37644655375761
"10177",585,2009,"DK021",59.3913427177422,0.974504663068277,1.62930177962139,5.3290939351815
"10178",585,2010,"DK021",90.1954992067043,3.36501058206317,0.0999362665402425,1.66884742405588
"10179",585,2011,"DK021",99.6102753212071,14.2327225959698,1.43646560937581,5.36941136468379
"10180",585,2012,"DK021",64.4506550352818,1.09070917034405,0.604811332577436,3.73376065651821
"10181",585,2013,"DK021",54.6974179762803,1.37480075810044,2.6546396123148,1.23281438378206
"10182",585,2014,"DK021",71.0792113762019,0.838997930320502,0.0088076639484053,7.07143359574842
"10183",585,2015,"DK021",37.890963809921,1.32779216025526,0,2.15512928853671
"10184",585,2016,"DK021",29.2593046807742,0.327053009549953,3,4.57410008866698
"10185",585,2017,"DK021",31.2895740037266,3.57522215416423,0.776855495885841,1.213285577199
"10186",585,2018,"DK021",42.5337515468118,2.32507363774745,0,29.2043924657035
"10187",585,2019,"DK021",39.839922266856,0.346264025824118,1.17665272882346,14.8609804149144
"10188",585,2020,"DK021",15.1842791364647,0,0,9.12948085640848
"10189",665,2003,"DK022",96.8739045025816,31.8305881380449,11.8632012916859,1.66399617815334
"10190",665,2004,"DK022",76.6428848411294,5.2043946051549,2.21061357904981,0.120459604699637
"10191",665,2005,"DK022",99.8847627324028,12.6639182642445,1.90706099765594,2.66370746325685
"10192",665,2006,"DK022",112.838673725086,17.3054940352742,2.66435995606474,5.20695532181406
"10193",665,2007,"DK022",77.8082966545843,7.84042312393469,1.4108919999718,1.06801040958361
"10194",665,2008,"DK022",58.9428591992875,1.93512903813309,2.45760589182643,0.519955552446167
"10195",665,2009,"DK022",101.97459330228,3.70517524957294,2.12380801891405,1.14946869113787
